scenario_id,category,name,duration_ms,expected_top1,api_top1,api_top1_cf,api_top3,expected_top3_all,expected_urgency,api_urgency,expected_red_flags,api_red_flags,api_explanation_source,api_evidence_count,top1_correct,top3_correct,top3_coverage,urgency_correct,red_flag_recall,refusal_appropriate,ok,error
S01,typical,Pneumonia klasik dengan distres napas,9940,P006,P006,0.8687,P006,P006,HIGH,EMERGENCY,Sulit bernapas;Napas cepat,Napas cepat;Sulit bernapas,rag_llm,5,1,1,1,0,1,,1,
S02,typical,DBD klasik fase febris,20736,P004,P004,0.776,P004,P004,MEDIUM,EMERGENCY,,,rag_llm,5,1,1,1,0,1,,1,
S03,typical,Influenza klasik pada anak sekolah,9476,P003,P003,0.9047,P003,P003,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S04,typical,Gastroenteritis akut tanpa dehidrasi,23286,P005,P005,0.7861,P005,P005,MEDIUM,HIGH,,,rag_llm,5,1,1,1,0,1,,1,
S05,typical,Enterobiasis dengan tanda khas,9574,P001,P001,0.9169,P001,P001,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S06,typical,Roseola dengan pola signature,18797,P010,P010,0.92,P010,P010,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S07,typical,Otitis Media Akut pada balita,11320,P013,P013,0.6837,P013,P013,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S08,typical,Malaria dengan riwayat endemis,13876,P014,P014,0.7628,P014,P014,MEDIUM,HIGH,,,rag_llm,5,1,1,1,0,1,,1,
S09,typical,Pneumonia ringan tanpa distres,6704,P006,P006,0.7502,P006,P006,HIGH,EMERGENCY,Napas cepat,Napas cepat,rag_llm,5,1,1,1,0,1,,1,
S10,typical,Influenza dengan keluhan GI ringan,8041,P003,P003,0.806,P003;P005,P003;P005,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S11,overlap,Demam batuk pilek standar (Influenza dominan),8176,P003,P003,0.802,P003,P003,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S12,overlap,DBD vs Roseola (demam tinggi + ruam),21866,P010,P010,0.8044,P010;P004,P010;P004,MEDIUM,MEDIUM,,,rag_llm,5,1,1,1,1,1,,1,
S13,overlap,Demam menggigil tanpa endemis (Influenza vs Malaria),5852,P003,P003,0.7853,P003;P014,P003;P014,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S14,overlap,Diare muntah demam tinggi (Gastro vs DBD),10513,P005,P005,0.7861,P005;P004,P005;P004,MEDIUM,HIGH,,,rag_llm,5,1,1,1,0,1,,1,
S15,overlap,Otitis Media vs Influenza (demam + nyeri telinga),6146,P013,P003,0.6444,P003;P013,P013;P003,LOW,MEDIUM,,,rag_llm,5,0,1,1,0,1,,1,
S16,overlap,Pneumonia vs Influenza fase awal,11377,P006,P003,0.7736,P003;P006,P006;P003,HIGH,HIGH,Napas cepat,Napas cepat,rag_llm,5,0,1,1,1,1,,1,
S17,overlap,Enterobiasis vs Gastroenteritis (nyeri perut + gatal anus),25341,P001,P001,0.6668,P001;P005,P001;P005,LOW,MEDIUM,,,rag_llm,5,1,1,1,0,1,,1,
S18,overlap,Demam-sakit kepala-nyeri otot (3-way overlap),10656,P003,P004,0.6346,P004;P003,P003;P004;P014,MEDIUM,EMERGENCY,,,rag_llm,5,0,1,0.667,0,1,,1,
