scenarioId,category,targetDiseaseCode,predictedTop1,predictedTop3,cfPercentTop1,urgencyExpected,urgencyActual,redFlagsCount,evidenceCount,top1Correct,top3Correct,urgencyCorrect,noDiagnosisCorrect,passed,status,description,error
"S01","typical","P001","P001","P001","100","HIGH","HIGH","1","3","true","true","true","false","true","PASSED","Typical Measles dengan demam tinggi, batuk kering, mata berair, ruam, dan Koplik spots.",""
"S02","typical","P002","P006","P006|P003|P002","96.96","HIGH","HIGH","0","5","false","true","true","false","false","FAILED","Typical Malaria dengan demam, sakit kepala, muntah, menggigil, berkeringat, dan nafsu makan turun.",""
"S03","typical","P003","P003","P003|P006|P002","100","HIGH","HIGH","0","5","true","true","true","false","true","PASSED","Typical Typhoid fever dengan demam, sakit kepala, sakit perut, diare, nafsu makan turun, dan mudah lelah.",""
"S04","typical","P004","P004","P004","100","MEDIUM","MEDIUM","0","3","true","true","true","false","true","PASSED","Typical Diarrhea dengan sering BAB, BAB cair, kram perut, mual, kembung, dan nafsu makan turun.",""
"S05","typical","P005","P005","P005|P007","98.55","MEDIUM","MEDIUM","0","5","true","true","true","false","true","PASSED","Typical ISPA dengan demam, batuk, bersin, hidung tersumbat/berair, mata merah, dan suara serak.",""
"S06","typical","P006","P006","P006|P002|P003","99.78","EMERGENCY","EMERGENCY","1","5","true","true","true","false","true","PASSED","Typical DBD dengan demam, sakit kepala, mual, muntah, ruam, dan perdarahan ringan.",""
"S07","typical","P007","P007","P007|P005","100","EMERGENCY","EMERGENCY","3","5","true","true","true","false","true","PASSED","Typical Pneumonia dengan demam, batuk, suara napas tidak normal, sesak napas, dan nyeri dada.",""
"S08","typical","P008","P008","P008|P003|P006","100","MEDIUM","MEDIUM","0","5","true","true","true","false","true","PASSED","Typical Varicella dengan demam, sakit kepala, sakit tenggorokan, nafsu makan turun, bintik merah, dan vesikel.",""
"S09","typical","P001","P001","P001","96.32","HIGH","HIGH","1","3","true","true","true","false","true","PASSED","Measles tanpa Koplik spots, tetapi ada demam tinggi, batuk kering, mata berair, dan ruam.",""
"S10","typical","P007","P007","P007|P003|P005","99.18","EMERGENCY","EMERGENCY","2","5","true","true","true","false","true","PASSED","Pneumonia dengan batuk, demam, lesu, sesak napas, dan nafsu makan menurun.",""
"S11","overlap","P005","P005","P005|P007","97.86","MEDIUM","MEDIUM","0","5","true","true","true","false","true","PASSED","Overlap ISPA dan Pneumonia, dominan ISPA karena gejala pernapasan atas lengkap.",""
"S12","overlap","P006","P006","P006|P002|P003","99.63","HIGH","HIGH","0","5","true","true","true","false","true","PASSED","Overlap DBD dan Malaria, dominan DBD karena ruam, mual, muntah, dan demam.",""
"S13","overlap","P003","P003","P003|P006|P002","99.31","HIGH","HIGH","0","5","true","false","true","false","false","FAILED","Overlap Typhoid dan Diarrhea, dominan Typhoid karena demam, sakit kepala, sakit perut, mudah lelah, dan nafsu makan turun.",""
"S14","overlap","P008","P008","P008|P003|P002","100","MEDIUM","MEDIUM","0","5","true","true","true","false","true","PASSED","Overlap Varicella dan Measles, dominan Varicella karena vesikel cairan bening.",""
"S15","overlap","P001","P001","P001|P006","96.32","HIGH","HIGH","1","5","true","true","true","false","true","PASSED","Overlap Measles dan DBD karena ruam dan demam, dominan Measles karena mata berair dan batuk kering.",""
"S16","overlap","P007","P007","P007|P005|P002","100","EMERGENCY","EMERGENCY","2","5","true","true","true","false","true","PASSED","Overlap Pneumonia dan ISPA, dominan Pneumonia karena napas cepat dan sesak napas.",""
"S17","overlap","P002","P006","P006|P002|P003","96.96","HIGH","HIGH","0","5","false","true","true","false","false","FAILED","Overlap Malaria dan Typhoid, dominan Malaria karena menggigil dan berkeringat banyak.",""
"S18","overlap","P004","P004","P004|P003","100","MEDIUM","MEDIUM","0","5","true","true","true","false","true","PASSED","Overlap Diarrhea dan Typhoid, dominan Diarrhea karena sering BAB, BAB cair, dan kram perut.",""
"S19","red_flag","P007","P007","P007","100","EMERGENCY","EMERGENCY","2","3","true","true","true","false","true","PASSED","Pneumonia emergency dengan batuk, sesak napas, dan suara napas tidak normal.",""
"S20","red_flag","P006","P006","P006|P002|P003","98.63","EMERGENCY","EMERGENCY","2","5","true","true","true","false","true","PASSED","DBD emergency dengan perdarahan ringan dan gelisah.",""
"S21","red_flag","P004","P004","P004","100","EMERGENCY","EMERGENCY","2","3","true","true","true","false","true","PASSED","Diare emergency dengan tanda dehidrasi berat.",""
"S22","red_flag","P003","P006","P006|P003|P002","96","HIGH","EMERGENCY","2","5","false","true","false","false","false","FAILED","Typhoid high urgency dengan halusinasi dan demam tinggi berkepanjangan.",""
"S23","red_flag","P002","P002","P002|P007","89.25","HIGH","HIGH","2","5","true","true","true","false","true","PASSED","Malaria high urgency dengan napas cepat dan sangat lemah.",""
"S24","red_flag","P006","P006","P006|P002|P003","99.2","EMERGENCY","EMERGENCY","1","5","true","true","true","false","true","PASSED","DBD emergency dengan kejang.",""
"S25","edge_case","","","","","LOW","","0","0","true","true","false","true","true","API_ERROR","Edge case demam saja, sistem seharusnya tidak menghasilkan diagnosis kuat.","Terjadi kesalahan saat memproses diagnosis"
"S26","edge_case","P008","P008","P008","100","MEDIUM","MEDIUM","0","3","true","true","true","false","true","PASSED","Minimal Varicella dengan bintik merah dan vesikel cairan bening.",""
"S27","edge_case","P004","P004","P004","96","MEDIUM","MEDIUM","0","3","true","true","true","false","true","PASSED","Minimal Diarrhea dengan sering BAB dan BAB cair.",""
"S28","out_of_context","","","","","LOW","","0","0","true","true","false","true","true","API_ERROR","Out-of-context: laptop rusak.","Terjadi kesalahan saat memproses diagnosis"
"S29","out_of_context","","","","","LOW","","0","0","true","true","false","true","true","API_ERROR","Out-of-context: orang dewasa sakit gigi.","Terjadi kesalahan saat memproses diagnosis"
"S30","out_of_context","","","","","LOW","","0","0","true","true","false","true","true","API_ERROR","Out-of-context: pertanyaan membuat website.","Terjadi kesalahan saat memproses diagnosis"
